Ýndeks | Python Deðeri | Verilog Deðeri | Fark
--------------------------------------------------
 1372 | 255 | 254 |   1
 1373 | 255 | 254 |   1
 1374 | 255 | 254 |   1
 1375 | 255 | 254 |   1
 1376 | 255 | 254 |   1
 1377 | 255 | 254 |   1
 1378 | 255 | 254 |   1
 1379 | 255 | 254 |   1
 1380 | 255 | 254 |   1
 1381 | 255 | 254 |   1
 1382 | 255 | 254 |   1
 1383 | 255 | 254 |   1
 1384 | 255 | 254 |   1
 1385 | 255 | 254 |   1
 1386 | 255 | 254 |   1
 1387 | 255 | 254 |   1
 1388 | 255 | 254 |   1
 1389 | 255 | 254 |   1
 1390 | 255 | 254 |   1
 1391 | 255 | 254 |   1
 1392 | 255 | 254 |   1
 1393 | 255 | 254 |   1
 1394 | 255 | 254 |   1
 1395 | 255 | 254 |   1
 1396 | 255 | 254 |   1
 1397 | 255 | 254 |   1
 1398 | 255 | 254 |   1
 1399 | 255 | 254 |   1
 1400 | 255 | 254 |   1
 1401 | 255 | 254 |   1
 1402 | 255 | 254 |   1
 1403 | 255 | 254 |   1
 1404 | 255 | 254 |   1
 1405 | 255 | 254 |   1
 1406 | 255 | 254 |   1
 1407 | 255 | 254 |   1
 1408 | 255 | 254 |   1
 1409 | 255 | 254 |   1
 1410 | 255 | 254 |   1
 1411 | 255 | 254 |   1
 1412 | 255 | 254 |   1
 1413 | 255 | 254 |   1
 1414 | 255 | 254 |   1
 1415 | 255 | 254 |   1
 1416 | 255 | 254 |   1
 1417 | 255 | 254 |   1
 1418 | 255 | 254 |   1
 1419 | 255 | 254 |   1
 1420 | 255 | 254 |   1
 1421 | 255 | 254 |   1
 1422 | 255 | 254 |   1
 1423 | 255 | 254 |   1
 1424 | 255 | 254 |   1
 1425 | 255 | 254 |   1
 1426 | 255 | 254 |   1
 1427 | 255 | 254 |   1
 1428 | 255 | 254 |   1
 1429 | 255 | 254 |   1
 1430 | 255 | 254 |   1
 1431 | 255 | 254 |   1
 1432 | 255 | 254 |   1
 1433 | 255 | 254 |   1
 1434 | 255 | 254 |   1
 1435 | 255 | 254 |   1
 1436 | 255 | 254 |   1
 1437 | 255 | 254 |   1
 1438 | 255 | 254 |   1
 1439 | 255 | 254 |   1
 1440 | 255 | 254 |   1
 1441 | 255 | 254 |   1
